#,Title,Acceptance,Difficulty,Frequency
904,,,,,
Fruit Into Baskets,39.80%,Medium,,,
681,,,,,
Next Closest Time,,,,,
41.10%,Medium,,,,
929,,,,,
Unique Email Addresses,79.00%,Easy,,,
482,,,,,
License Key Formatting,39.30%,Easy,,,
159,,,,,
Longest Substring with At Most Two Distinct Characters,,,,,
44.50%,Hard,,,,
683,,,,,
K Empty Slots,,,,,
33.30%,Hard,,,,
399,,,,,
Evaluate Division,44.50%,Medium,,,
844,,,,,
Backspace String Compare,43.30%,Easy,,,
857,,,,,
Minimum Cost to Hire K Workers,44.90%,Hard,,,
843,,,,,
Guess the Word,39.60%,Hard,,,
489,,,,,
Robot Room Cleaner,,,,,
57.70%,Hard,,,,
1,,,,,
Two Sum,39.20%,Easy,,,
833,,,,,
Find And Replace in String,42.20%,Medium,,,
135,,,,,
Candy,26.70%,Hard,,,
803,,,,,
Bricks Falling When Hit,25.10%,Hard,,,
642,,,,,
Design Search Autocomplete System,,,,,
33.20%,Hard,,,,
205,,,,,
Isomorphic Strings,35.90%,Easy,,,
849,,,,,
Maximize Distance to Closest Person,38.70%,Easy,,,
299,,,,,
Bulls and Cows,37.50%,Medium,,,
308,,,,,
Range Sum Query 2D - Mutable,,,,,
29.20%,Hard,,,,
403,,,,,
Frog Jump,34.10%,Hard,,,
777,,,,,
Swap Adjacent in LR String,30.50%,Medium,,,
158,,,,,
Read N Characters Given Read4 II - Call multiple times,,,,,
24.30%,Hard,,,,
900,,,,,
RLE Iterator,44.40%,Medium,,,
562,,,,,
Longest Line of Consecutive One in Matrix,,,,,
41.80%,Medium,,,,
731,,,,,
My Calendar II,40.70%,Medium,,,
753,,,,,
Cracking the Safe,43.20%,Hard,,,
686,,,,,
Repeated String Match,31.30%,Easy,,,
846,,,,,
Hand of Straights,46.10%,Medium,,,
56,,,,,
Merge Intervals,33.60%,Medium,,,
248,,,,,
Strobogrammatic Number III,,,,,
34.00%,Hard,,,,
457,,,,,
Circular Array Loop,25.60%,Medium,,,
528,,,,,
Random Pick with Weight,41.80%,Medium,,,
418,,,,,
Sentence Screen Fitting,,,,,
29.30%,Medium,,,,
818,,,,,
Race Car,31.60%,Hard,,,
222,,,,,
Count Complete Tree Nodes,29.30%,Medium,,,
428,,,,,
Serialize and Deserialize N-ary Tree,,,,,
48.20%,Hard,,,,
815,,,,,
Bus Routes,36.30%,Hard,,,
475,,,,,
Heaters,30.20%,Easy,,,
524,,,,,
Longest Word in Dictionary through Deleting,44.00%,Medium,,,
734,,,,,
Sentence Similarity,,,,,
39.00%,Easy,,,,
375,,,,,
Guess Number Higher or Lower II,36.60%,Medium,,,
911,,,,,
Online Election,43.50%,Medium,,,
200,,,,,
Number of Islands,38.70%,Medium,,,
407,,,,,
Trapping Rain Water II,38.20%,Hard,,,
750,,,,,
Number Of Corner Rectangles,,,,,
61.10%,Medium,,,,
679,,,,,
24 Game,40.00%,Hard,,,
850,,,,,
Rectangle Area II,41.80%,Hard,,,
727,,,,,
Minimum Window Subsequence,,,,,
33.70%,Hard,,,,
568,,,,,
Maximum Vacation Days,,,,,
36.50%,Hard,,,,
340,,,,,
Longest Substring with At Most K Distinct Characters,,,,,
38.50%,Hard,,,,
329,,,,,
Longest Increasing Path in a Matrix,38.30%,Hard,,,
684,,,,,
Redundant Connection,47.90%,Medium,,,
307,,,,,
Range Sum Query - Mutable,25.60%,Medium,,,
766,,,,,
Toeplitz Matrix,59.80%,Easy,,,
636,,,,,
Exclusive Time of Functions,46.40%,Medium,,,
85,,,,,
Maximal Rectangle,31.30%,Hard,,,
163,,,,,
Missing Ranges,,,,,
22.80%,Medium,,,,
424,,,,,
Longest Repeating Character Replacement,43.00%,Medium,,,
774,,,,,
Minimize Max Distance to Gas Station,,,,,
37.20%,Hard,,,,
247,,,,,
Strobogrammatic Number II,,,,,
42.50%,Medium,,,,
353,,,,,
Design Snake Game,,,,,
28.60%,Medium,,,,
380,,,,,
Insert Delete GetRandom O(1),41.00%,Medium,,,
800,,,,,
Similar RGB Color,,,,,
56.30%,Easy,,,,
208,,,,,
Implement Trie (Prefix Tree),34.60%,Medium,,,
150,,,,,
Evaluate Reverse Polish Notation,30.30%,Medium,,,
228,,,,,
Summary Ranges,34.10%,Medium,,,
736,,,,,
Parse Lisp Expression,41.40%,Hard,,,
317,,,,,
Shortest Distance from All Buildings,,,,,
35.70%,Hard,,,,
447,,,,,
Number of Boomerangs,48.20%,Easy,,,
465,,,,,
Optimal Account Balancing,,,,,
40.80%,Hard,,,,
166,,,,,
Fraction to Recurring Decimal,18.70%,Medium,,,
659,,,,,
Split Array into Consecutive Subsequences,38.10%,Medium,,,
288,,,,,
Unique Word Abbreviation,,,,,
19.00%,Medium,,,,
776,,,,,
Split BST,,,,,
50.70%,Medium,,,,
146,,,,,
LRU Cache,22.30%,Hard,,,
68,,,,,
Text Justification,21.50%,Hard,,,
54,,,,,
Spiral Matrix,28.60%,Medium,,,
855,,,,,
Exam Room,33.90%,Medium,,,
853,,,,,
Car Fleet,35.50%,Medium,,,
544,,,,,
Output Contest Matches,,,,,
71.70%,Medium,,,,
787,,,,,
Cheapest Flights Within K Stops,31.60%,Medium,,,
370,,,,,
Range Addition,,,,,
59.00%,Medium,,,,
127,,,,,
Word Ladder,21.70%,Medium,,,
549,,,,,
Binary Tree Longest Consecutive Sequence II,,,,,
43.10%,Medium,,,,
527,,,,,
Word Abbreviation,,,,,
45.60%,Hard,,,,
809,,,,,
Expressive Words,39.60%,Medium,,,
265,,,,,
Paint House II,,,,,
39.90%,Hard,,,,
157,,,,,
Read N Characters Given Read4,,,,,
27.90%,Easy,,,,
737,,,,,
Sentence Similarity II,,,,,
41.00%,Medium,,,,
133,,,,,
Clone Graph,25.10%,Medium,,,
271,,,,,
Encode and Decode Strings,,,,,
25.70%,Medium,,,,
347,,,,,
Top K Frequent Elements,51.60%,Medium,,,
394,,,,,
Decode String,42.60%,Medium,,,
694,,,,,
Number of Distinct Islands,,,,,
47.60%,Medium,,,,
253,,,,,
Meeting Rooms II,,,,,
40.70%,Medium,,,,
138,,,,,
Copy List with Random Pointer,25.60%,Medium,,,
139,,,,,
Word Break,33.10%,Medium,,,
410,,,,,
Split Array Largest Sum,40.50%,Hard,,,
751,,,,,
IP to CIDR,,,,,
54.40%,Easy,,,,
20,,,,,
Valid Parentheses,34.90%,Easy,,,
66,,,,,
Plus One,40.10%,Easy,,,
269,,,,,
Alien Dictionary,,,,,
28.50%,Hard,,,,
324,,,,,
Wiggle Sort II,26.80%,Medium,,,
10,,,,,
Regular Expression Matching,24.50%,Hard,,,
799,,,,,
Champagne Tower,31.00%,Medium,,,
162,,,,,
Find Peak Element,40.00%,Medium,,,
218,,,,,
The Skyline Problem,30.20%,Hard,,,
23,,,,,
Merge k Sorted Lists,31.10%,Hard,,,
715,,,,,
Range Module,32.30%,Hard,,,
187,,,,,
Repeated DNA Sequences,34.50%,Medium,,,
378,,,,,
Kth Smallest Element in a Sorted Matrix,46.90%,Medium,,,
529,,,,,
Minesweeper,50.60%,Medium,,,
722,,,,,
Remove Comments,29.10%,Medium,,,
124,,,,,
Binary Tree Maximum Path Sum,28.40%,Hard,,,
128,,,,,
Longest Consecutive Sequence,39.80%,Hard,,,
858,,,,,
Mirror Reflection,50.00%,Medium,,,
444,,,,,
Sequence Reconstruction,,,,,
19.60%,Medium,,,,
493,,,,,
Reverse Pairs,21.50%,Hard,,,
723,,,,,
Candy Crush,,,,,
58.20%,Medium,,,,
281,,,,,
Zigzag Iterator,,,,,
54.50%,Medium,,,,
406,,,,,
Queue Reconstruction by Height,57.50%,Medium,,,
419,,,,,
Battleships in a Board,64.30%,Medium,,,
739,,,,,
Daily Temperatures,56.50%,Medium,,,
334,,,,,
Increasing Triplet Subsequence,39.30%,Medium,,,
341,,,,,
Flatten Nested List Iterator,45.30%,Medium,,,
381,,,,,
Insert Delete GetRandom O(1) - Duplicates allowed,30.50%,Hard,,,
72,,,,,
Edit Distance,34.90%,Hard,,,
416,,,,,
Partition Equal Subset Sum,38.90%,Medium,,,
640,,,,,
Solve the Equation,39.10%,Medium,,,
729,,,,,
My Calendar I,44.90%,Medium,,,
769,,,,,
Max Chunks To Make Sorted,49.60%,Medium,,,
38,,,,,
Count and Say,38.30%,Easy,,,
76,,,,,
Minimum Window Substring,28.80%,Hard,,,
392,,,,,
Is Subsequence,45.30%,Medium,,,
490,,,,,
The Maze,,,,,
45.00%,Medium,,,,
42,,,,,
Trapping Rain Water,40.10%,Hard,,,
221,,,,,
Maximal Square,31.50%,Medium,,,
687,,,,,
Longest Univalue Path,32.70%,Easy,,,
4,,,,,
Median of Two Sorted Arrays,24.30%,Hard,,,
652,,,,,
Find Duplicate Subtrees,41.50%,Medium,,,
767,,,,,
Reorganize String,39.70%,Medium,,,
346,,,,,
Moving Average from Data Stream,,,,,
63.10%,Easy,,,,
359,,,,,
Logger Rate Limiter,,,,,
62.60%,Easy,,,,
246,,,,,
Strobogrammatic Number,,,,,
41.10%,Easy,,,,
373,,,,,
Find K Pairs with Smallest Sums,32.10%,Medium,,,
91,,,,,
Decode Ways,21.20%,Medium,,,
109,,,,,
Convert Sorted List to Binary Search Tree,38.10%,Medium,,,
62,,,,,
Unique Paths,45.00%,Medium,,,
130,,,,,
Surrounded Regions,21.20%,Medium,,,
165,,,,,
Compare Version Numbers,21.80%,Medium,,,
224,,,,,
Basic Calculator,30.50%,Hard,,,
685,,,,,
Redundant Connection II,28.90%,Hard,,,
348,,,,,
Design Tic-Tac-Toe,,,,,
47.30%,Medium,,,,
285,,,,,
Inorder Successor in BST,,,,,
33.20%,Medium,,,,
305,,,,,
Number of Islands II,,,,,
40.60%,Hard,,,,
2,,,,,
Add Two Numbers,29.50%,Medium,,,
486,,,,,
Predict the Winner,46.00%,Medium,,,
692,,,,,
Top K Frequent Words,43.20%,Medium,,,
745,,,,,
Prefix and Suffix Search,28.00%,Hard,,,
266,,,,,
Palindrome Permutation,,,,,
59.00%,Easy,,,,
69,,,,,
Sqrt(x),29.80%,Easy,,,
195,,,,,
Tenth Line,34.00%,Easy,,,
295,,,,,
Find Median from Data Stream,32.70%,Hard,,,
297,,,,,
Serialize and Deserialize Binary Tree,37.60%,Hard,,,
57,,,,,
Insert Interval,30.10%,Hard,,,
315,,,,,
Count of Smaller Numbers After Self,36.00%,Hard,,,
518,,,,,
Coin Change 2,39.10%,Medium,,,
210,,,,,
Course Schedule II,32.30%,Medium,,,
312,,,,,
Burst Balloons,45.10%,Hard,,,
760,,,,,
Find Anagram Mappings,,,,,
77.60%,Easy,,,,
332,,,,,
Reconstruct Itinerary,30.10%,Medium,,,
449,,,,,
Serialize and Deserialize BST,44.20%,Medium,,,
752,,,,,
Open the Lock,42.20%,Medium,,,
388,,,,,
Longest Absolute File Path,38.20%,Medium,,,
126,,,,,
Word Ladder II,16.10%,Hard,,,
279,,,,,
Perfect Squares,39.20%,Medium,,,
792,,,,,
Number of Matching Subsequences,39.20%,Medium,,,
3,,,,,
Longest Substring Without Repeating Characters,25.30%,Medium,,,
939,,,,,
Minimum Area Rectangle,40.80%,Medium,,,
535,,,,,
Encode and Decode TinyURL,74.70%,Medium,,,
845,,,,,
Longest Mountain in Array,32.30%,Medium,,,
17,,,,,
Letter Combinations of a Phone Number,38.90%,Medium,,,
277,,,,,
Find the Celebrity,,,,,
35.00%,Medium,,,,
354,,,,,
Russian Doll Envelopes,33.00%,Hard,,,
725,,,,,
Split Linked List in Parts,47.70%,Medium,,,
785,,,,,
Is Graph Bipartite?,40.50%,Medium,,,
5,,,,,
Longest Palindromic Substring,25.70%,Medium,,,
807,,,,,
Max Increase to Keep City Skyline,80.00%,Medium,,,
118,,,,,
Pascal's Triangle,42.80%,Easy,,,
207,,,,,
Course Schedule,35.40%,Medium,,,
852,,,,,
Peak Index in a Mountain Array,67.30%,Easy,,,
50,,,,,
"Pow(x, n)",26.90%,Medium,,,
212,,,,,
Word Search II,26.40%,Hard,,,
283,,,,,
Move Zeroes,52.70%,Easy,,,
543,,,,,
Diameter of Binary Tree,45.40%,Easy,,,
556,,,,,
Next Greater Element III,29.10%,Medium,,,
213,,,,,
House Robber II,34.70%,Medium,,,
316,,,,,
Remove Duplicate Letters,31.20%,Hard,,,
460,,,,,
LFU Cache,26.80%,Hard,,,
720,,,,,
Longest Word in Dictionary,42.50%,Easy,,,
140,,,,,
Word Break II,25.80%,Hard,,,
282,,,,,
Expression Add Operators,31.50%,Hard,,,
724,,,,,
Find Pivot Index,39.60%,Easy,,,
108,,,,,
Convert Sorted Array to Binary Search Tree,47.50%,Easy,,,
110,,,,,
Balanced Binary Tree,39.60%,Easy,,,
120,,,,,
Triangle,37.10%,Medium,,,
121,,,,,
Best Time to Buy and Sell Stock,44.90%,Easy,,,
572,,,,,
Subtree of Another Tree,40.50%,Easy,,,
395,,,,,
Longest Substring with At Least K Repeating Characters,36.80%,Medium,,,
806,,,,,
Number of Lines To Write String,61.90%,Easy,,,
830,,,,,
Positions of Large Groups,46.20%,Easy,,,
300,,,,,
Longest Increasing Subsequence,39.50%,Medium,,,
498,,,,,
Diagonal Traverse,44.20%,Medium,,,
721,,,,,
Accounts Merge,36.90%,Medium,,,
863,,,,,
All Nodes Distance K in Binary Tree,43.30%,Medium,,,
31,,,,,
Next Permutation,29.40%,Medium,,,
398,,,,,
Random Pick Index,47.30%,Medium,,,
695,,,,,
Max Area of Island,54.00%,Medium,,,
698,,,,,
Partition to K Equal Sum Subsets,39.60%,Medium,,,
115,,,,,
Distinct Subsequences,33.70%,Hard,,,
188,,,,,
Best Time to Buy and Sell Stock IV,25.40%,Hard,,,
459,,,,,
Repeated Substring Pattern,38.80%,Easy,,,
463,,,,,
Island Perimeter,59.10%,Easy,,,
242,,,,,
Valid Anagram,49.50%,Easy,,,
18,,,,,
4Sum,28.70%,Medium,,,
155,,,,,
Min Stack,33.90%,Easy,,,
202,,,,,
Happy Number,43.20%,Easy,,,
261,,,,,
Graph Valid Tree,,,,,
39.00%,Medium,,,,
859,,,,,
Buddy Strings,26.70%,Easy,,,
37,,,,,
Sudoku Solver,34.20%,Hard,,,
43,,,,,
Multiply Strings,29.00%,Medium,,,
49,,,,,
Group Anagrams,42.40%,Medium,,,
97,,,,,
Interleaving String,26.40%,Hard,,,
149,,,,,
Max Points on a Line,15.30%,Hard,,,
198,,,,,
House Robber,40.50%,Easy,,,
560,,,,,
Subarray Sum Equals K,40.50%,Medium,,,
836,,,,,
Rectangle Overlap,44.50%,Easy,,,
804,,,,,
Unique Morse Code Words,71.70%,Easy,,,
46,,,,,
Permutations,51.20%,Medium,,,
53,,,,,
Maximum Subarray,41.70%,Easy,,,
26,,,,,
Remove Duplicates from Sorted Array,38.30%,Easy,,,
35,,,,,
Search Insert Position,40.00%,Easy,,,
287,,,,,
Find the Duplicate Number,46.70%,Medium,,,
8,,,,,
String to Integer (atoi),14.20%,Medium,,,
60,,,,,
Permutation Sequence,31.20%,Medium,,,
304,,,,,
Range Sum Query 2D - Immutable,29.70%,Medium,,,
33,,,,,
Search in Rotated Sorted Array,32.20%,Medium,,,
64,,,,,
Minimum Path Sum,43.80%,Medium,,,
141,,,,,
Linked List Cycle,34.60%,Easy,,,
337,,,,,
House Robber III,46.20%,Medium,,,
384,,,,,
Shuffle an Array,48.50%,Medium,,,
134,,,,,
Gas Station,31.80%,Medium,,,
653,,,,,
Two Sum IV - Input is a BST,51.10%,Easy,,,
98,,,,,
Validate Binary Search Tree,24.70%,Medium,,,
268,,,,,
Missing Number,46.50%,Easy,,,
349,,,,,
Intersection of Two Arrays,50.90%,Easy,,,
350,,,,,
Intersection of Two Arrays II,45.50%,Easy,,,
496,,,,,
Next Greater Element I,57.50%,Easy,,,
34,,,,,
Find First and Last Position of Element in Sorted Array,32.30%,Medium,,,
77,,,,,
Combinations,44.30%,Medium,,,
119,,,,,
Pascal's Triangle II,40.50%,Easy,,,
143,,,,,
Reorder List,28.70%,Medium,,,
160,,,,,
Intersection of Two Linked Lists,30.80%,Easy,,,
232,,,,,
Implement Queue using Stacks,40.40%,Easy,,,
872,,,,,
Leaf-Similar Trees,60.70%,Easy,,,
190,,,,,
Reverse Bits,29.20%,Easy,,,
301,,,,,
Remove Invalid Parentheses,37.10%,Hard,,,
701,,,,,
Insert into a Binary Search Tree,68.60%,Medium,,,
15,,,,,
3Sum,22.40%,Medium,,,
96,,,,,
Unique Binary Search Trees,43.80%,Medium,,,
236,,,,,
Lowest Common Ancestor of a Binary Tree,33.20%,Medium,,,
273,,,,,
Integer to English Words,23.30%,Hard,,,
647,,,,,
Palindromic Substrings,54.70%,Medium,,,
22,,,,,
Generate Parentheses,51.20%,Medium,,,
25,,,,,
Reverse Nodes in k-Group,34.00%,Hard,,,
92,,,,,
Reverse Linked List II,33.00%,Medium,,,
113,,,,,
Path Sum II,38.10%,Medium,,,
70,,,,,
Climbing Stairs,42.30%,Easy,,,
116,,,,,
Populating Next Right Pointers in Each Node,36.50%,Medium,,,
203,,,,,
Remove Linked List Elements,34.50%,Easy,,,
239,,,,,
Sliding Window Maximum,35.90%,Hard,,,
240,,,,,
Search a 2D Matrix II,39.60%,Medium,,,
438,,,,,
Find All Anagrams in a String,35.00%,Easy,,,
7,,,,,
Reverse Integer,24.60%,Easy,,,
13,,,,,
Roman to Integer,50.10%,Easy,,,
36,,,,,
Valid Sudoku,40.20%,Medium,,,
41,,,,,
First Missing Positive,27.20%,Hard,,,
63,,,,,
Unique Paths II,32.80%,Medium,,,
104,,,,,
Maximum Depth of Binary Tree,57.60%,Easy,,,
114,,,,,
Flatten Binary Tree to Linked List,39.50%,Medium,,,
278,,,,,
First Bad Version,27.70%,Easy,,,
926,,,,,
Flip String to Monotone Increasing,43.70%,Medium,,,
6,,,,,
ZigZag Conversion,29.20%,Medium,,,
48,,,,,
Rotate Image,44.90%,Medium,,,
75,,,,,
Sort Colors,40.40%,Medium,,,
83,,,,,
Remove Duplicates from Sorted List,41.20%,Easy,,,
103,,,,,
Binary Tree Zigzag Level Order Traversal,39.00%,Medium,,,
226,,,,,
Invert Binary Tree,55.70%,Easy,,,
237,,,,,
Delete Node in a Linked List,50.20%,Easy,,,
933,,,,,
Number of Recent Calls,64.50%,Easy,,,
412,,,,,
Fizz Buzz,58.10%,Easy,,,
78,,,,,
Subsets,48.80%,Medium,,,
100,,,,,
Same Tree,48.70%,Easy,,,
238,,,,,
Product of Array Except Self,52.40%,Medium,,,
101,,,,,
Symmetric Tree,41.80%,Easy,,,
136,,,,,
Single Number,57.60%,Easy,,,
215,,,,,
Kth Largest Element in an Array,43.80%,Medium,,,
387,,,,,
First Unique Character in a String,47.90%,Easy,,,
11,,,,,
Container With Most Water,40.00%,Medium,,,
14,,,,,
Longest Common Prefix,32.20%,Easy,,,
19,,,,,
Remove Nth Node From End of List,33.60%,Medium,,,
94,,,,,
Binary Tree Inorder Traversal,53.20%,Medium,,,
21,,,,,
Merge Two Sorted Lists,44.00%,Easy,,,
206,,,,,
Reverse Linked List,50.50%,Easy,,,
